Where do you live? (City and State/Country),Are you Male or Female?,What's your Age?,If I could live forever I would/would not?,Which closes fits what you think will happen when you die?,I think the following is most important for good health (choose one),How much do you think about your weight?,What do you do to help cope with stress most?,"If you spend the day being lazy, do you feel good or bad?","In general, do you feel life has been fair to you?",How many languages do you speak fluently?,Did you grow up with a pet?,My current relationship status:,Select where you usually get your information about the world from,Select how obedient or independent you think children should be,"If I could enhance my unborn child's DNA in only ONE way, I would improve their: (choose one)",How strict or lenient were your parents when you were growing up?,The following would make my life better (choose one),How much time do you spend alone each day?,How optimistic or pessimistic are you?,How many generations currently live in your household?,Who are you more similar to?,I would or would not say that one of the main goals in my life has been to make my parents proud,Where are you in the birth order of your siblings,My pet thinks of me as its _______________ (choose one),Rank how trustworthy you think people are,"In general, I do/do not feel that life has been fair to me",I think successful people more/less honest than the average person,Select where you feel safest,Do you know the names of your closest neighbors?,How safe or scary is your neighborhood?,"If there were a fire at my home, I would take the following item first",Who would you vote for president of the US?,I usually average X hours sleep each night,I usually wake up in the following way:,Pick how often you have lucid dreams,Pick how often your remember your dreams during the day,Pick what you mostly dream about,"If there were a pill that eliminated the need for sleep, I would/would not not take it",Have you slept-walked before?,Do you nap regularly?,Have you experienced love at first sight,Would you marry someone with whom you could never have children?,Do you think it is acceptable for a married person to have an affair?,Do you think love is necessary for marriage?,Do you kick your pet out of the room before having sex?,"If I could change ONE thing about my partner, it would be the following (pick one)",I was X years old when I got married,lat,lon
East Lansing Michigan United States,male,22,would,I will go to heaven or hell,Proper diet,At times,Family/Friends,good,Do,1,did,Single,Computer,Obedient,Appearance,Strict,Better romance,8,Optimistic,1,Neither,would,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Often,Often,Flying,Would,Have not,Do not,have,would not,is not,is,Yes,Nothing,0,,
,female,43,would,My spirit will return home,Proper diet,Constantly,Family/Friends,good,Do,1,did not,Married,Computer,Obedient,Nothing,Strict,More money,4,Optimistic,2,Both about equally,would,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,5,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do,have,would,is not,is,No,Sexual ability,25,,
,male,27,would not,I will go to heaven or hell,Proper diet,Constantly,Work,bad,Do not,2,did not,Single,Computer,Obedient,Nothing,Strict,More money,7,Optimistic,0,Mom,would,Middle,I don't have a pet,Untrustworthy,Do not,More,Place of worship,Safe,Do not,Other,Mitt Romney,8,Alarm clock,Often,Often,Being unprepared,Would not,Have not,Do not,,,,,,,,,
Yerrinbool New South Wales Australia,male,40,would,Nothing. Game over.,Proper diet,Sometimes,Exercise,bad,Do,2,did not,Married,SmartPhone,Obedient,Lifespan,Strict,More free time,0,Optimistic,1,Both about equally,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,I don't feel safe,Safe,Do,Other,Barack Obama,8,Naturally,Seldom,Seldom,Other,Would,Have,Do,have,would,is not,is not,Yes,Nothing,30,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,have not,would,is not,is,Yes,,,,
Singapore,male,37,would,I will go to heaven or hell,Proper diet,Constantly,Exercise,bad,Do,20,did,Married,Print media,Obedient,Immunity,Strict,More money,1,Optimistic,1,Both about equally,would,Youngest,Peer,Untrustworthy,Do,More,Home,Safe,Do not,Other,Mitt Romney,6,Naturally,Often,Often,Other,Would,Have not,Do,have,would,is not,is,No,All of the above,26,,
Vancouver British Columbia Canada,male,57,would not,Nothing. Game over.,Exercise,At times,Music/Art,good,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,More free time,9,Optimistic,3,Mom,would,Middle,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,6,Alarm clock,Seldom,Seldom,Being chased,Would not,Have not,Do,have,would,is not,is,No,Nothing,25,,
Bolivar Colombia,male,28,would,My spirit will return home,Exercise,At times,Family/Friends,bad,Do,1,did,Single,Tablet,Obedient,Appearance,Strict,Nothing,4,Optimistic,3,Mom,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,,,,,,,,,,,,,,,,,
New York New York United States,female,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Wenatchee Washington United States,female,26,would not,I will go to heaven or hell,Environment,Constantly,Family/Friends,good,Do,1,did,Married,SmartPhone,Obedient,Intelligence,Strict,More free time,2,Optimistic,1,Mom,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Mitt Romney,9,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,Yes,Sexual ability,26,,
Kansas City Missouri United States,male,28,would,Nothing. Game over.,Exercise,At times,Music/Art,good,Do,1,did,Single,Computer,Obedient,Nothing,Strict,More free time,3,Optimistic,1,Both about equally,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,8,Alarm clock,Never,Seldom,Being unprepared,Would,Have not,Do not,have not,would,is not,is,Yes,Nothing,0,,
Meadville Pennsylvania United States,female,35,would,My spirit will return home,Proper diet,,Family/Friends,,Do,,did,Single,SmartPhone,Obedient,Appearance,Strict,More money,1,Optimistic,1,Dad,would not,I don't have any siblings,,Untrustworthy,Do,More,Home,Safe,,Photo albums,Barack Obama,8,Alarm clock,Often,Often,Being unprepared,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,0,,
,,31,would,Nothing. Game over.,Genes,Sometimes,Exercise,bad,Do,2,did,Single,Computer,Obedient,Intelligence,Strict,More free time,2,Optimistic,2,Mom,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,8,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,,,,
Santa Clara California United States,male,24,would,I will go to heaven or hell,Proper diet,At times,Exercise,bad,Do,1,did,Single,SmartPhone,Obedient,Intelligence,Strict,More money,5,Optimistic,1,Both about equally,would,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,60,Alarm clock,Seldom,Seldom,Other,Would,Have,Do not,have not,would,is not,is,No,Nothing,0,,
Sunnyvale California United States,female,42,would,I will go to heaven or hell,Environment,Sometimes,Alcohol/Drugs,bad,Do,7,did not,Married,Computer,Obedient,Nothing,Strict,More free time,8,Optimistic,2,Dad,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Work,Safe,Do,Photo albums,Barack Obama,9,Child/Children,Seldom,Often,Being chased,Would not,Have not,Do not,have,would,is not,is,Yes,Nothing,29,,
Tempe Arizona United States,male,35,would,I will be reincarnated,Proper diet,Sometimes,Music/Art,good,Do not,1,did,Cohabitating,SmartPhone,Obedient,Intelligence,Strict,Better health,4,Optimistic,0,Dad,would not,Oldest,I don't have a pet,Untrustworthy,Do not,More,I don't feel safe,Safe,Do not,Gun,Barack Obama,5,Alarm clock,Often,Seldom,Other,Would,Have,Do not,have,would not,is not,is,Yes,Nothing,18,,
,male,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkinton Massachusetts United States,male,36,would,Nothing. Game over.,Proper diet,Constantly,Exercise,good,Do,1,did,Married,Computer,Obedient,Immunity,Strict,More free time,2,Optimistic,2,Both about equally,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Naturally,Never,Seldom,Other,Would,Have not,Do not,have not,would,is not,is not,No,All of the above,30,,
,male,33,would,I will go to heaven or hell,Proper diet,At times,Exercise,bad,Do,1,did,Married,Computer,,,,,,,,,,,,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Mitt Romney,7,Alarm clock,Never,Never,Being unprepared,Would,Have not,Do not,have not,would,is not,is,Yes,Nothing,23,,
Rio de Janeiro Rio de Janeiro Rep�blica Federativa do Brasil,male,38,would,I will be reincarnated,Proper diet,Constantly,Exercise,bad,Do,3,did,Married,Computer,Obedient,Immunity,Strict,More money,1,Optimistic,1,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,8,Naturally,Seldom,Never,Falling,Would not,Have not,Do not,have,would,is not,is,Yes,Nothing,30,,
Mississauga Ontario Canada,male,27,would not,I will go to heaven or hell,Exercise,Sometimes,Music/Art,bad,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,4,Optimistic,2,Dad,would,Youngest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Never,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,,,,,
Las Vegas Nevada United States,male,26,would not,I will be reincarnated,Environment,At times,Alcohol/Drugs,good,Do,1,did,Single,SmartPhone,Obedient,Intelligence,Strict,Better job,2,Optimistic,1,Dad,would,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,8,Naturally,Seldom,Seldom,Being unprepared,Would not,Have not,Do not,have,would,is not,is,Yes,Sexual ability,0,,
Montreuil,male,32,would,I will be reincarnated,Proper diet,Constantly,Exercise,good,Do,2,did not,Cohabitating,Other people,Obedient,Immunity,Strict,More money,3,Optimistic,1,Dad,would,Youngest,Peer,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,,,,,,,,,,,,,,,,,
Westborough Massachusetts United States,male,51,would,My spirit will return home,Exercise,Constantly,Exercise,bad,Do,1,did,Married,Computer,Obedient,Nothing,Strict,Nothing,1,Optimistic,2,Mom,would,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Mitt Romney,7,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have not,Do,have not,would,is not,is,No,Nothing,29,,
Athens Attica Greece,male,30,would,Nothing. Game over.,Proper diet,Sometimes,Music/Art,bad,Do,3,did,Single,Computer,Obedient,Intelligence,Strict,More free time,10,Optimistic,0,Dad,would not,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,,6,Naturally,Seldom,Seldom,Being unprepared,Would not,Have not,Do not,have,would,is not,is,No,Nothing,0,,
Dubai,male,39,would,My spirit will return home,Proper diet,Constantly,Family/Friends,good,Do,3,did not,Married,Computer,Obedient,Intelligence,Strict,More free time,1,Optimistic,2,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Jewelry,Barack Obama,6,Naturally,Seldom,Often,Other,Would not,Have not,Do not,have,would not,is not,is,No,Nothing,29,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,34,,Nothing. Game over.,,At times,,,,,did,Married,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granville New South Wales Australia,male,40,would not,I will be reincarnated,Proper diet,At times,Exercise,bad,Do,1,did,Married,SmartPhone,Obedient,Nothing,Strict,More free time,2,Optimistic,1,Mom,would not,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Mitt Romney,7,Child/Children,Never,Seldom,Naked in public,Would not,Have,Do not,have,would not,is,is,Yes,Intelligence,25,,
Los Angeles California United States,male,18,would not,Nothing. Game over.,Exercise,Sometimes,Alcohol/Drugs,bad,Do,1,did,Cohabitating,Other people,Obedient,Appearance,Strict,More money,2,Optimistic,1,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,,Alarm clock,Seldom,Seldom,Falling,Would,Have not,Do not,have not,would,is not,is,No,Nothing,0,,
Midland Township Michigan United States,male,23,would,My spirit will return home,Exercise,Sometimes,Exercise,bad,Do,1,did,Single,Computer,Obedient,Lifespan,Strict,More money,6,Optimistic,1,Both about equally,would,Youngest,Playmate,Untrustworthy,Do,More,Work,Safe,Do,Photo albums,Barack Obama,8,Naturally,Seldom,Seldom,Being unprepared,Would not,Have not,Do not,have not,would not,is not,is,Yes,Looks,0,,
,male,21,would not,Nothing. Game over.,Proper diet,Sometimes,Music/Art,good,Do,1,did,Single,SmartPhone,Obedient,Nothing,Strict,Better job,20,Optimistic,2,Dad,would not,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Money,Barack Obama,8,Alarm clock,Often,Seldom,Being chased,Would,Have not,Do not,have not,would,is not,is,Yes,Nothing,0,,
Irvine California United States,male,50,would,I will go to heaven or hell,Proper diet,Constantly,Prayer,bad,Do,1,did,Married,SmartPhone,Obedient,Immunity,Strict,More free time,10,Optimistic,1,Mom,would not,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Mitt Romney,8,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have not,Do not,have not,would,is not,is,No,Nothing,26,,
Timisoara Timis Romania,male,33,would,Nothing. Game over.,Proper diet,Constantly,Family/Friends,good,Do,2,did not,Cohabitating,Computer,Obedient,Intelligence,Strict,More free time,8,Optimistic,1,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,8,Alarm clock,Seldom,Often,Being unprepared,Would not,Have not,Do not,have,would,is not,is,Yes,Nothing,33,,
Anchorage,male,24,would,I will go to heaven or hell,Genes,Never,Music/Art,good,Do,1,did,Married,Computer,Obedient,Immunity,Strict,Better job,3,Optimistic,1,Dad,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Other,Mitt Romney,7,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have,would,is not,is,Yes,Nothing,23,,
Auckland Auckland New Zealand,male,44,would not,My spirit will return home,Exercise,Never,Alcohol/Drugs,bad,Do,1,did not,Single,Computer,,Immunity,,,14,,1,Mom,would,Oldest,I don't have a pet,Untrustworthy,Do,,Home,Safe,Do,Other,,9,Naturally,Often,Never,Falling,Would not,Have not,Do not,have,would,is,is not,Yes,Nothing,,,
,,30,would not,Nothing. Game over.,Proper diet,Never,Music/Art,bad,,3,did,Married,SmartPhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotterdam Zuid-Holland Nederland,female,22,would not,I will go to heaven or hell,Genes,At times,Music/Art,good,Do,50,did not,Single,Other people,Obedient,Nothing,Strict,More money,5,Optimistic,1,Both about equally,would,Middle,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,6,Naturally,Seldom,Seldom,Other,Would,Have not,Do,have,would,is not,is not,Yes,Personality,0,,
,male,22,would not,I will be reincarnated,Exercise,At times,Exercise,good,,5,did,Married,Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nottingham  United Kingdom,male,40,would,Nothing. Game over.,Genes,Sometimes,Family/Friends,bad,Do,1,did,Married,Computer,Obedient,Immunity,Strict,More free time,2,Optimistic,1,Mom,would not,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,7,Alarm clock,Seldom,Often,Other,Would,Have not,Do,have not,would,is not,is,No,Nothing,25,,
,female,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangalore Karnataka India,female,25,would,Nothing. Game over.,Exercise,At times,Music/Art,good,Do not,40,did not,Single,Print media,Obedient,Appearance,Strict,More money,90,Optimistic,20,Dad,would not,Youngest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do,Photo albums,Barack Obama,8,Alarm clock,Never,Often,Falling,Would not,Have not,Do,have not,would not,is,is,Yes,Looks,25,,
Abu Dhabi Abu Dhabi United Arab Emirates,male,34,would not,I will go to heaven or hell,Proper diet,Constantly,Family/Friends,bad,Do,2,did not,Married,Computer,Obedient,Nothing,Strict,Better job,2,Optimistic,2,Mom,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Jewelry,Barack Obama,,,,,,,,,have not,would not,is not,is not,Yes,Nothing,27,,
Duluth Georgia United States,male,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,32,would,My spirit will return home,Exercise,At times,Family/Friends,good,Do,3,did not,Married,Print media,Obedient,Nothing,Strict,Nothing,5,Optimistic,2,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Jewelry,Barack Obama,8,Naturally,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is,is,Yes,Personality,28,,
Stockholm  Sweden,male,33,would,My spirit will return home,Exercise,Sometimes,Family/Friends,bad,Do,2,did,Married,SmartPhone,Obedient,Immunity,Strict,More money,3,Optimistic,2,Mom,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Other,Mitt Romney,6,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have,Do not,have not,would not,is not,is,No,Sexual ability,27,,
,male,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmel Indiana United States,male,31,would,Nothing. Game over.,Proper diet,At times,Alcohol/Drugs,bad,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,More free time,8,Optimistic,1,Dad,would,Oldest,Peer,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,7,Alarm clock,Seldom,Seldom,Being unprepared,Would not,Have not,Do not,have,would,is not,is,No,Nothing,0,,
New York New York United States,male,28,,,,,,,,,,,,Obedient,Immunity,Strict,Better health,28,Optimistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco California United States,male,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,24,would,I will go to heaven or hell,Exercise,Constantly,Music/Art,good,Do not,1,did,Single,Computer,Obedient,Intelligence,Strict,More money,5,Optimistic,1,Mom,would,Youngest,Can-opener,Untrustworthy,Do not,More,Home,Safe,Do not,Electronics,Barack Obama,6,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have,Do not,have,would not,is not,is,Yes,Personality,21,,
Hopkins Minnesota United States,male,24,would,Nothing. Game over.,Genes,At times,Family/Friends,bad,Do,3,did,Single,Computer,Obedient,Intelligence,Strict,More free time,4,Optimistic,1,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,7,Alarm clock,Seldom,Often,Flying,Would,Have not,Do not,have,would,is not,is,Yes,Nothing,0,,
,male,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,27,would not,I will be reincarnated,Proper diet,Sometimes,Family/Friends,good,Do,2,did,Cohabitating,Computer,Obedient,Intelligence,Strict,More money,90,Optimistic,1,Both about equally,would,I don't have any siblings,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,8,Alarm clock,Often,Often,Other,Would not,Have not,Do not,have,would,is not,is,No,Personality,0,,
Danville Kentucky United States,male,21,would not,I will go to heaven or hell,Exercise,Sometimes,Prayer,bad,Do,2,did not,Single,SmartPhone,Obedient,Intelligence,Strict,More free time,15,Optimistic,1,Mom,would,Middle,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,6,Alarm clock,Seldom,Seldom,Being unprepared,Would not,Have not,Do not,have not,would,is not,is,Yes,Personality,,,
Barcelona,male,33,would,I will be reincarnated,Environment,At times,Work,good,Do,3,did,Cohabitating,SmartPhone,,Nothing,,Better job,5,,0,Both about equally,would not,Youngest,Owner,,Do,,Home,,Do not,Electronics,Barack Obama,6,Alarm clock,Seldom,Seldom,Flying,Would not,Have not,Do,have,would not,is not,is,No,Nothing,40,,
,male,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,male,40,would not,Nothing. Game over.,Proper diet,Never,Alcohol/Drugs,bad,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,Better job,4,Optimistic,0,Both about equally,would not,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,,6,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is not,is not,Yes,Personality,19,,
Lynchburg Virginia United States,male,35,would,Nothing. Game over.,Exercise,At times,Alcohol/Drugs,bad,Do,1,did,Married,SmartPhone,Obedient,Nothing,Strict,Nothing,5,Optimistic,2,Mom,would not,Youngest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Gun,Mitt Romney,7,Alarm clock,Never,Never,Other,Would,Have,Do not,have,would,is not,is,No,Personality,25,,
Bras�lia Federal District Brazil,male,40,would not,I will be reincarnated,Proper diet,Sometimes,Family/Friends,bad,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,6,Optimistic,1,Dad,would not,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,3,Alarm clock,Seldom,Often,Other,Would not,Have not,Do,have,would,is not,is,Yes,Intelligence,20,,
Kongens Lyngby Capital Region of Denmark Denmark,male,18,would,Nothing. Game over.,Exercise,At times,Music/Art,bad,Do,,did not,Cohabitating,Computer,,Immunity,,More free time,5,Optimistic,1,Dad,would not,Youngest,I don't have a pet,,Do,More,Home,,Do,Electronics,,7,Alarm clock,Often,Seldom,Other,,Have,Do,have,would,is not,is,Yes,Nothing,,,
Seattle,male,29,would not,I will go to heaven or hell,Proper diet,Sometimes,Music/Art,bad,Do,1,did,Married,SmartPhone,Obedient,Intelligence,Strict,More free time,1,Optimistic,2,Dad,would,Oldest,Peer,Untrustworthy,Do,More,Home,Safe,Do,Gun,Mitt Romney,70,Alarm clock,Often,Never,Other,Would not,Have not,Do not,have not,would,is not,is,Yes,Sexual ability,21,,
Hong Kong,female,29,would not,My spirit will return home,Proper diet,Constantly,Music/Art,good,Do,3,did not,Single,Computer,Obedient,Lifespan,Strict,Better romance,7,Optimistic,2,Mom,would,Oldest,Playmate,Untrustworthy,Do,,Home,Safe,Do,Money,Barack Obama,6,Alarm clock,Often,Often,Being unprepared,Would not,Have not,Do not,have,would,is not,is,Yes,Intelligence,90,,
,male,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,female,22,would not,I will be reincarnated,Proper diet,Sometimes,Exercise,bad,Do,1,did,,Computer,,,,,,,,,,,,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Seldom,Often,Naked in public,Would,Have,Do not,have not,would not,is not,is,Yes,Nothing,0,,
,male,47,would not,Nothing. Game over.,Proper diet,Sometimes,Exercise,good,Do,1,did,Married,Computer,Obedient,Nothing,Strict,More free time,7,Optimistic,2,Both about equally,would,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,6,Alarm clock,Often,Seldom,Other,Would,Have not,Do,have not,would,is,is not,Yes,Nothing,22,,
Austin Texas United States,male,29,would,Nothing. Game over.,Exercise,Never,Family/Friends,good,Do not,1,did,Single,Computer,Obedient,Intelligence,Strict,More money,2,Optimistic,1,Mom,would not,Oldest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Never,Seldom,Other,Would not,Have,Do not,have not,would,is,is not,Yes,Nothing,0,,
